Year,start_date,end_date
2014,1/01/2014,27/01/2014
2014,5/04/2014,21/04/2014
2014,28/06/2014,13/07/2014
2014,20/09/2014,7/10/2014
2014,20/12/2014,31/12/2014
2015,1/01/2015,26/01/2015
2015,28/03/2015,12/04/2015
2015,27/06/2015,12/07/2015
2015,19/09/2015,5/10/2015
2015,19/12/2015,31/12/2015
2016,1/01/2016,26/01/2016
2016,25/03/2016,10/04/2016
2016,25/06/2016,10/07/2016
2016,17/09/2016,2/10/2016
2016,21/12/2016,31/12/2016
2017,1/01/2017,29/01/2017
2017,1/04/2017,17/04/2017
2017,1/07/2017,16/07/2017
2017,23/09/2017,8/10/2017
2017,22/12/2017,31/12/2017
2018,1/01/2018,28/01/2018
2018,30/03/2018,15/04/2018
2018,30/06/2018,15/07/2018
2018,22/09/2018,7/10/2018
2018,22/12/2018,31/12/2018
2019,1/01/2019,28/01/2019
2019,6/04/2019,22/04/2019
2019,29/06/2019,14/07/2019
2019,21/09/2019,6/10/2019
2019,21/12/2019,31/12/2019
2020,1/01/2020,27/01/2020
2020,28/03/2020,13/04/2020
2020,27/06/2020,12/07/2020
2020,19/09/2020,4/10/2020
2020,19/12/2020,31/12/2020
